,,,,,,,
Län och kommuner i nummerordning samt motsvarande koder för vissa andra administrativa och icke-administrativa områden 2025-01-01,,,,,,,
,,,,,,,
"Counties and municipalities in numerical order, with corresponding numerical codes ",,,,,,,
for some other administrative and non-administrative subdivisions 2025-01-01,,,,,,,
,,,,,,,
,,,,,,,
Länskod,Länsnamn,Kommunkod,Kommun,Lokal,Funktionell analys-,Kommungrupp,Degree of
,,,,arbetsmarknad,region (Tillväxtanalys),(SKR),urbanisation
County code,County,Municipality code,Municipality,Local labour,Functional analysis,Classification,(DEGURBA)
,,,,market,region,of municipality,
,,,,,,,
,,,,,,,
01,Stockholm,0114,Upplands Väsby,LA2301,23,A2,2
01,Stockholm,0115,Vallentuna,LA2301,23,A2,2
01,Stockholm,0117,Österåker,LA2301,23,A2,2
01,Stockholm,0120,Värmdö,LA2301,23,A2,3
01,Stockholm,0123,Järfälla,LA2301,23,A2,1
01,Stockholm,0125,Ekerö,LA2301,23,A2,2
01,Stockholm,0126,Huddinge,LA2301,23,A2,1
01,Stockholm,0127,Botkyrka,LA2301,23,A2,2
01,Stockholm,0128,Salem,LA2301,23,A2,2
01,Stockholm,0136,Haninge,LA2301,23,A2,2
01,Stockholm,0138,Tyresö,LA2301,23,A2,1
01,Stockholm,0139,Upplands-Bro,LA2301,23,A2,2
01,Stockholm,0140,Nykvarn,LA2301,23,B4,2
01,Stockholm,0160,Täby,LA2301,23,A2,1
01,Stockholm,0162,Danderyd,LA2301,23,A2,1
01,Stockholm,0163,Sollentuna,LA2301,23,A2,1
01,Stockholm,0180,Stockholm,LA2301,23,A1,1
01,Stockholm,0181,Södertälje,LA2301,23,B3,1
01,Stockholm,0182,Nacka,LA2301,23,A2,2
01,Stockholm,0183,Sundbyberg,LA2301,23,A2,1
01,Stockholm,0184,Solna,LA2301,23,A2,1
01,Stockholm,0186,Lidingö,LA2301,23,A2,1
01,Stockholm,0187,Vaxholm,LA2301,23,A2,2
01,Stockholm,0188,Norrtälje,LA2301,23,C6,3
01,Stockholm,0191,Sigtuna,LA2301,23,A2,2
01,Stockholm,0192,Nynäshamn,LA2301,23,A2,2
03,Uppsala,0305,Håbo,LA2301,23,A2,2
03,Uppsala,0319,Älvkarleby,LA2341,36,B4,2
03,Uppsala,0330,Knivsta,LA2301,23,B4,2
03,Uppsala,0331,Heby,LA2301,23,B4,3
03,Uppsala,0360,Tierp,LA2301,23,B4,3
03,Uppsala,0380,Uppsala,LA2301,23,B3,1
03,Uppsala,0381,Enköping,LA2301,23,B4,2
03,Uppsala,0382,Östhammar,LA2301,23,B5,3
04,Södermanland,0428,Vingåker,LA2303,22,C7,3
04,Södermanland,0461,Gnesta,LA2301,23,B4,2
04,Södermanland,0480,Nyköping,LA2302,21,C6,2
04,Södermanland,0481,Oxelösund,LA2302,21,C7,2
04,Södermanland,0482,Flen,LA2303,23,C7,3
04,Södermanland,0483,Katrineholm,LA2303,22,C6,2
04,Södermanland,0484,Eskilstuna,LA2303,22,B3,2
04,Södermanland,0486,Strängnäs,LA2301,23,B4,3
04,Södermanland,0488,Trosa,LA2301,23,B4,3
05,Östergötland,0509,Ödeshög,LA2304,19,C7,3
05,Östergötland,0512,Ydre,LA2305,13,C7,3
